[2023-08-06T09:34:51.621280+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID:  [] []
[2023-08-06T09:34:51.733267+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:51.741062+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: User ID: utifmd [] []
[2023-08-06T09:34:52.499435+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:52.692855+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:52.879678+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:53.061251+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:53.484460+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:53.770464+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cbb1f32 [] []
[2023-08-06T09:34:53.787983+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cdbf00e [] []
[2023-08-06T09:34:53.796918+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: User ID: utifmd [] []
[2023-08-06T09:34:53.805670+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cdbf00e [] []
[2023-08-06T09:34:53.822647+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06cdc7675 [] []
[2023-08-06T09:34:53.831794+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: User ID: utifmd [] []
[2023-08-06T09:34:54.730321+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: Session ID: 64cf06ceb080d [] []
[2023-08-06T09:34:54.744453+07:00] DudeGenuine\PHP\MVC\Service\SessionService.INFO: User ID: utifmd [] []
